sector,num_bedrooms,num_bathrooms,num_balconies,age_group,super_built_up_area,built_up_area,carpet_area,floor_number,servant_room,pooja_room,store_room,furnished,Centrally Air Conditioned,False Ceiling Lighting,Intercom Facility,Private Garden / Terrace,Separate entry for servant room,Spacious Interiors
sector 37,3,3.0,4.0,Moderately New Flat,1996.563,1736.4240720524017,1537.0,8.0,0,0,0,1,0,0,1,0,0,0
dwarka expressway,3,3.0,0.0,Under Construction,2029.904,1758.0,1559.3823259409576,6.0,0,0,0,0,0,0,0,0,0,0
sector 85,3,5.0,3.0,New Flat,2408.0,2103.056768558952,1857.629733130651,2.0,0,0,0,0,0,0,0,0,0,0
sector 67,1,1.0,1.0,Moderately New Flat,953.7546666666667,825.9999999999999,732.6790678198129,17.0,0,0,0,0,0,0,1,0,0,0
sector 70,2,2.0,3.0,Under Construction,1262.0,1102.183406113537,973.5584398716285,23.0,0,0,0,0,1,0,1,0,0,0
sector 90,4,3.0,4.0,Moderately Old Flat,2877.285,2502.393831877729,2215.0,10.0,0,0,0,0,0,0,1,0,0,0
sector 85,3,3.0,3.0,Under Construction,1488.2643,1294.353324235808,1145.7,30.0,0,0,0,0,0,0,1,0,0,0
gwal pahari,3,3.0,3.0,Under Construction,1319.2066666666667,1430.0,760.0,4.0,0,0,0,0,0,0,1,0,0,0
sector 21,1,1.0,1.0,Moderately New Flat,585.0,517.0210152838429,464.9999999999999,2.0,0,0,0,0,0,0,0,0,0,0
sector 7,2,2.0,1.0,Moderately New Flat,808.2666666666667,699.9999999999999,620.9144642540787,0.0,0,0,0,0,0,0,0,0,0,0
sohna road,2,2.0,1.0,Moderately New Flat,677.7893333333334,587.0,520.681129310206,0.0,0,0,0,0,0,0,0,0,0,0
sector 79,3,3.0,4.0,Under Construction,1534.0,1200.0,1103.0,1.0,0,0,0,0,0,0,0,0,0,0
sohna road,3,3.0,0.0,New Flat,1228.854,1068.7424672489083,946.0,1.0,0,0,0,0,0,0,0,0,0,0
sector 113,4,4.0,4.0,Under Construction,2985.102,2596.1629912663757,2298.0,11.0,1,0,0,0,0,0,1,0,0,0
sector 92,2,2.0,3.0,Under Construction,1320.0,1152.8384279475983,1018.3020131779315,11.0,0,0,0,0,0,0,0,0,0,0
sector 47,3,3.0,0.0,Moderately Old Flat,3117.6,2711.397379912664,2400.0,0.0,0,0,0,1,0,0,0,0,0,0
sector 70,2,2.0,3.0,Under Construction,1639.338,1425.7431222707423,1262.0,19.0,0,0,0,0,0,0,0,0,0,0
sector 65,2,2.0,4.0,Under Construction,1654.6373333333333,1433.0,1271.100610394421,28.0,0,0,0,0,0,0,0,0,0,0
sohna road,2,2.0,1.0,Moderately New Flat,766.0491666666667,743.0,519.0,4.0,0,0,0,0,0,0,0,0,0,0
sohna road,2,2.0,2.0,Moderately New Flat,855.175,750.0,650.0,9.0,0,0,0,0,0,0,0,0,0,0
golf course road,2,2.0,3.0,Moderately New Flat,1407.25,1200.0,1100.0,7.0,0,0,0,0,0,0,0,0,0,0
sector 4,2,2.0,1.0,Moderately New Flat,1035.5916666666667,950.0,750.0,-2.0,0,0,0,0,0,0,0,0,0,0
